t,tx,rx,seq,rateKbps,bits,dist_m,pathloss_db,snr_db,per,success
48.5023,1,2,16,8,440,120,115.742,-8.76699,0,1
48.6024,2,1,15,8,88,120,115.742,-8.76699,0,1
48.6146,2,1,16,8,88,120,115.742,-8.76699,0,1
50.9256,3,2,3,16,384,80,111.868,-4.89298,0,1
51.0378,2,3,3,8,88,80,111.868,-4.89298,0,1
51.8675,2,1,15,8,320,120,115.742,-8.76699,0,1
51.8675,2,3,15,8,320,80,111.868,-4.89298,0,1
51.9151,1,0,12,32,440,50,107.377,-0.40234,0.212126,1
52.0273,0,1,12,8,88,50,107.377,-0.40234,0,1
52.809,3,2,4,16,320,80,111.868,-4.89298,0,1
52.8295,1,2,17,8,320,120,115.742,-8.76699,0,1
52.9133,1,0,13,32,384,50,107.377,-0.40234,0.187852,1
52.9213,2,3,4,8,88,80,111.868,-4.89298,0,1
52.9362,1,0,14,32,320,50,107.377,-0.40234,0.159194,1
52.9418,2,1,17,8,88,120,115.742,-8.76699,0,1
52.987,1,2,18,8,320,120,115.742,-8.76699,0,1
53.0256,0,1,13,8,88,50,107.377,-0.40234,0,1
53.0485,0,1,14,8,88,50,107.377,-0.40234,0,1
53.0992,2,1,18,8,88,120,115.742,-8.76699,0,1
55.192,2,1,7,8,320,120,115.742,-8.76699,0,1
55.3042,1,2,7,8,88,120,115.742,-8.76699,0,1
56.1703,1,2,19,8,448,120,115.742,-8.76699,0,1
56.2826,2,1,19,8,88,120,115.742,-8.76699,0,1
57.2727,1,2,20,8,696,120,115.742,-8.76699,0,1
57.3849,2,1,20,8,88,120,115.742,-8.76699,0,1
58.3269,1,2,21,8,320,120,115.742,-8.76699,0,1
58.4391,2,1,21,8,88,120,115.742,-8.76699,0,1
60.9583,1,2,22,8,448,120,115.742,-8.76699,0,1
61.0706,2,1,22,8,88,120,115.742,-8.76699,0,1
62.1375,1,2,23,8,1296,120,115.742,-8.76699,0,1
62.2498,2,1,23,8,88,120,115.742,-8.76699,0,1
